layer,sep_score
1,0.7133333333333334
2,0.6333333333333333
3,0.6033333333333333
4,0.65
5,0.6733333333333335
6,0.72
7,0.6833333333333332
8,0.65
9,0.725
10,0.8800000000000001
11,0.8066666666666666
12,0.8266666666666668
13,0.9833333333333334
14,0.9183333333333333
15,0.5783333333333334
16,0.7416666666666666
17,0.7983333333333332
18,0.7816666666666666
19,0.7383333333333334
20,0.7550000000000001
21,0.7283333333333333
22,0.74
23,0.71
24,0.6666666666666667
25,0.7183333333333333
26,0.6833333333333333
27,0.6916666666666667
28,0.6799999999999999
29,0.6633333333333333
30,0.665
31,0.6833333333333333
